,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_j,ratingHashReview_j,ratingAccountReview_j,ratingNoTweet_q,ratingHashReview_q,ratingAccountReview_q,ratingTwitter3_j,ratingTwitter4_j,ratingTwitter3_q,ratingTwitter4_q,ratingLike_j,ratingLike_q,ratingView_j,ratingView_q,ratingWebsite_j,ratingWebsite_q,finalRating1,finalRating2,finalRating3,finalRating4
985,????????????,????? Boy Love Lovely Room,128,???????????????????? -- ?????????????????????? ????????????????????? 5 ????????? ???????????????????,460,??,4,https://cdn.readawrite.com/articles/1852/1851608/thumbnail/,110,"Boy Love/Yaoi,????????,????????,?????????????,???,?????????????,???????,????????,?????????????????????????,????????,Esport,eSports",yaoi | ????????????????????????? #?????????????,5952,?????????????????????????,?????????????,13,2,0,1,2,2,4,1.7,2.5,1.7,1.5,2.7,3,1,5,1,4,1,4.3,4.1,3.3,3.2,3.4
84,??????????,????? Boy Love Lovely Room,4,??????????????????? ??????????????????? ????????? ?????????????????????????????????????????????????,8,??,1,https://cdn.readawrite.com/articles/1974/1973620/thumbnail/,3,"???????????,??????,????????",??????????? #??????,258,???????????,??????,20,0,0,1,2,2,5,1.7,1.3,1.7,1.5,2.7,3.2,1,2,1,2,1,2,4,2.9,2.5,2.8
1011,??????????????,????? Boy Love Lovely Room,0,???????????????????? ?????????????????? ??????????????????????????????????????,7,??,1,https://cdn.readawrite.com/articles/1918/1917334/thumbnail/,0,"????????,????????,????????????,#??????,Mpreg",#?????? [Mpreg],101,,??????,75,0,2,2,3,2,5,3.3,1.3,2.3,2.2,3.2,3.6,1,1,1,2,1,1.7,3.9,3.3,2.7,3
944,Melenalike,????? Boy Love Secret Room,"1,473",?????????,"2,250",??,24,https://cdn.readawrite.com/articles/1864/1863699/thumbnail/,371,"?????????,???????????,Mpreg,Yaoi,Boy love / Yaoi / ?????????,???????????","[Mpreg] Nevertheless, I still hate you. #?????????",114504,,?????????,4,3,1,1,2,3,3,3.3,3.8,2,1.8,3.4,3.3,2,5,1,5,1.3,5,3.7,3.8,3.9,3.9
105,wickedwish_,????? Boy Love Lovely Room,"2,487",???????????????????????????????????????????????????????????????????????????????????????????...,"3,660",??,32,https://cdn.readawrite.com/articles/2037/2036194/thumbnail/,690,,(fictober2020) Honey Trap #???????????????,197062,,???????????????,6,1,2,1,3,2,3,3.3,2.5,2,1.8,2.9,3,2,5,2,5,2,5,3.7,3.8,3.6,3.7
684,wickedwish_,????? Boy Love Lovely Room,"2,308",???????????????????????? ????????????????????????????????????????...,"6,510",??,15,https://cdn.readawrite.com/articles/1592/1591219/thumbnail/,1049,,(daybreak) evening is eternal #??????????????,151286,,??????????????,7,1,1,1,2,2,3,3.3,2.5,1.7,1.5,2.9,3,2,5,2,5,2,5,3.7,3.8,3.6,3.7
697,Navvip,????? Boy Love Lovely Room,"3,298",‘?????????????????????????????????…????????????’ ????????????????????????????????,"15,035",??,42,https://cdn.readawrite.com/articles/1643/1642602/thumbnail/,1476,"Boy Love/Yaoi,omegaverse,???,?????????????????,NC18+",[Omegaverse] #????????????,636753,,????????????,4,1,1,1,2,2,3,3.3,2.5,1.7,1.5,2.9,3,3,5,3,5,3,5,3.7,3.8,3.6,3.7
934,littlebbear96,????? Boy Love Lovely Room,"6,083",????????????????????????????????????????????????????????????? ????????????????? ????????????????????,"13,721",??,25,https://cdn.readawrite.com/articles/1811/1810306/thumbnail/,1960,"????????????????????????????????,????????????,???,?????,??????????,???????????????",(END)#????????????????????????????????(Mpreg)[???.Deep],628884,,????????????????????????????????,5,1,1,1,2,2,3,3.3,2.5,1.7,1.5,2.9,3,3,5,3,5,3,5,3.7,3.8,3.6,3.7
267,RindadaRin,????? Boy Love Secret Room,301,?????????????????????? ??????????????????????????,764,??,26,https://cdn.readawrite.com/articles/2202/2201352/thumbnail/,105,"bdsm,roleplay,Daddy",Mr.Black  his Baby #??????????????????????? {BDSM},36192,,???????????????????????,4,0,2,1,3,2,3,3.3,1.3,2,1.8,2.5,2.6,1,5,1,5,1,5,3.7,3.8,3.3,3.4
337,S.Husky,????? Boy Love Secret Room,503,?????????????? '???' ??????? ????????????????????????? ?????????????????????????????????????????????,"1,945",??,7,https://cdn.readawrite.com/articles/2260/2259521/thumbnail/,253,"??????????,Boy Love/Yaoi,PWP,colletor,dept",#?????????? (4P/PWP),51383,,??????????,4,0,1,1,2,2,3,3.3,1.3,1.7,1.5,2.5,2.6,1,5,1,5,1,5,3.7,3.8,3.3,3.4
613,F.GC,????? Boy Love Lovely Room,236,“?????? ?????????????” “???????????????????” “????????????????????????,380,??,16,https://cdn.readawrite.com/articles/1567/1566124/thumbnail/,75,"Boy Love/Yaoi,18+,????????,????????,?????????????,???????,F.GC","I LOVE YOU #?????????? [Yaoi , Boy\'s Love]",11809,,??????????,4,0,2,1,3,2,3,3.3,1.3,2,1.8,2.5,2.6,1,5,1,5,1,5,3.7,3.8,3.3,3.4
